Category ID,Category Name,Retail Name,Retail Price
10,冷凍食品_冰品_各式冰品_其它2,老實農場檸檬火龍果冰角,160
10,冷凍食品_冰品_各式冰品_其它2,MR.COOL玉米冰淇淋-牛奶風味,98
10,冷凍食品_冰品_各式冰品_其它2,杜老爺淇淋巧酥甜筒,126
10,冷凍食品_冰品_各式冰品_其它2,杜老爺特級巧克力焦糖甜筒,126
10,冷凍食品_冰品_各式冰品_其它2,阿奇儂冰砂--芒果,30
10,冷凍食品_冰品_各式冰品_其它2,阿奇儂冰沙-草莓,30
10,冷凍食品_冰品_各式冰品_其它2,休閒食代黑糖風味珍珠熟粉圓-255g,125
10,冷凍食品_冰品_各式冰品_其它2,義美銅鑼燒冰淇淋香草-80gx4,116
10,冷凍食品_冰品_各式冰品_其它2,杜老爺雙倍巧克力甜筒,126
10,冷凍食品_冰品_各式冰品_其它2,山田村一鮮芒果三文治冰淇淋,70
10,冷凍食品_冰品_各式冰品_其它2,杜老爺抹茶甜筒-82gx4,159
10,冷凍食品_冰品_各式冰品_其它2,山田村一醇芋頭三文治冰淇淋,70
10,冷凍食品_冰品_各式冰品_其它2,杜老爺福麻淇冰家庭號-芝麻,101
10,冷凍食品_冰品_各式冰品_其它2,杜老爺福麻淇冰家庭號-花生,101
10,冷凍食品_冰品_各式冰品_其它2,雅方冰淇淋酥杯,29
10,冷凍食品_冰品_各式冰品_其它2,家樂福冰沙-草莓-330g,30
10,冷凍食品_冰品_各式冰品_其它2,杜老爺福麻淇冰家庭號-香草,101
10,冷凍食品_冰品_各式冰品_其它2,杜老爺福麻淇冰家庭號-芋頭,101
10,冷凍食品_冰品_各式冰品_其它2,杜老爺草莓甜筒,146
10,冷凍食品_冰品_各式冰品_其它2,義美銅鑼燒冰淇淋巧克力-80gx4,116
10,冷凍食品_冰品_各式冰品_其它2,杜老爺歐布雷克愛爾蘭咖啡甜筒-80gx4,126
10,冷凍食品_冰品_各式冰品_其它2,杜老爺蘋果牛奶甜筒,160
10,冷凍食品_冰品_各式冰品_其它2,蜜之雪冰淇淋-抹茶-140ml,79
